,date,team_1,team_2,win_1,win_2
152,2010-07-03,UGA,KEN,False,True
153,2010-07-03,ZIM,MAD,True,False
154,2010-07-03,ZAM,BOT,True,False
155,2010-07-10,NZL,RSA,True,False
156,2010-07-10,KEN,UGA,True,False
157,2010-07-17,NZL,RSA,True,False
158,2010-07-17,ZIM,KEN,False,True
159,2010-07-17,URU,KAZ,True,False
160,2010-07-17,NIG,CGO,True,False
161,2010-07-17,BUR,MLI,False,True
162,2010-07-17,ROU,TUN,True,False
163,2010-07-18,GHA,BEN,True,False
164,2010-07-20,CGO,BUR,False,True
165,2010-07-20,BEN,TOG,False,True
166,2010-07-21,NIG,MLI,True,False
167,2010-07-24,CGO,BEN,True,False
168,2010-07-24,BUR,TOG,True,False
169,2010-07-24,MLI,GHA,True,False
170,2010-07-24,AUS,RSA,True,False
171,2010-07-31,AUS,NZL,False,True
172,2010-08-07,NZL,AUS,True,False
173,2010-08-21,RSA,NZL,False,True
174,2010-08-28,RSA,AUS,True,False
175,2010-09-04,RSA,AUS,False,True
176,2010-09-11,AUS,NZL,False,True
177,2010-09-29,CHI,TGA,False,True
178,2010-10-02,SUI,ARM,True,False
179,2010-10-05,USA,TGA,True,False
180,2010-10-09,FIN,LUX,False,True
181,2010-10-09,AND,SLO,True,False
182,2010-10-09,CZE,POL,True,False
183,2010-10-10,ArJ,USA,True,False
184,2010-10-15,ArJ,TGA,True,False
185,2010-10-16,HUN,AUT,True,False
186,2010-10-23,SLO,SRB,True,False
187,2010-10-23,CRO,SWE,False,True
188,2010-10-23,RUS,ArJ,False,True
189,2010-10-24,COL,CRC,True,False
190,2010-10-25,BIH,SVK,True,False
191,2010-10-25,VEN,PER,False,True
192,2010-10-26,ALG,LBY,True,False
193,2010-10-26,EGY,MTN,True,False
194,2010-10-27,VEN,CRC,True,False
195,2010-10-27,COL,PER,False,True
196,2010-10-28,AZE,SVK,False,True
197,2010-10-29,EGY,ALG,False,True
198,2010-10-29,LBY,MTN,False,True
199,2010-10-30,RUS,ArJ,False,True
200,2010-10-30,PER,CRC,True,False
